year,location,location_id,plant_area,crops_area,production_value,production,affected_area,lost_area,lost_amount,lost_value,plant_number,crops_number,station_id,temp_mean,temp_max,temp_min,rain_accu,rain_days,windsp_max,winddir_max,gustsp_max,gustdir_max,humid_mean,humid_min,pressure_mean,sunshine_hours,ups_price,mid_price,downs_price,avg_price_kg,amount_kg,total_sales
104,TPE,2,9.54,9.54,4275,155.98,15.2,5.97,135.36,2837.34,8106,8106,466910,17.6,29.2,2.5,3500.1,193,20.6,360,54.5,360,90.83,24,921.73,1035.7,66.59,46.5,31.21,47.46,7903607,271444780
104,TYN,3,37.49,36.3,10045,366.49,6.39,1.27,16.7914,460.362,28502,27558,466880,23.6,37.3,8.5,2132.2,139,19,230,36.7,230,71.83,21,1012.45,1383.7,56.02,36.17,26.58,38.23,6926227,216600524
104,TXG,4,579.72,577.02,165863,6051.18,320.36,140.05,1528.311,39826.41,703876,700816,467490,24.3,35.6,8.2,1526.3,98,11.4,360,30.5,350,72,22,1003.36,2079.2,44.08,34.69,25.9,34.99,5385742,170393032
104,TNN,5,950.85,946.78,498952,18203.28,751.11,287.04,6317.522,65452.34,1318476,1312463,467410,25,35,10.5,1481,70,17.8,320,34.4,250,75.67,21,1010.47,2510.5,44.57,29.32,22.09,29.32,1198670,32634778.5
104,KHH,6,1728.85,1651.51,1026943,37466,1034.63,318.42,7897.89,235888.3,3107203,2967931,467440,26.1,34.7,12.3,1344,69,16.6,350,31,350,73.67,24,1012.66,2591.1,38.79,30.51,26.01,31.27,1058035,33303425.25
104,ILA,7,95.29,95.1,26995,984.85,61.2,47.26,921.605,22341.17,125957,125742,467060,23.2,34,9.6,4069.1,208,40.4,170,68.4,360,79.92,29,1011.4,1478.5,41.87,30.32,20.14,30.09,399807.5,11418818
104,HSZ,8,90.27,89.77,37771,1378.01,24.6,7.91,160.648,4697.24,130726,129976,467571,23.3,37,9.1,1417.8,106,12.6,360,30.6,300,76.67,30,1010.23,1931.7,26.18,25.79,25.33,25.79,991,22920
104,ZMI,9,100.03,100.03,55548,2026.58,38.53,11.18,235.3111,9768.565,136105,136105,466950,22.1,33.4,9.7,1148.6,150,43.4,340,60.2,360,80.58,37,1002.74,1665.6,0,0,0,0,0,0
104,CHW,10,139.17,137.07,86892,3170.07,89.94,28.43,717.9125,17871.94,207124,203974,467770,23.4,34.5,9.1,1148,89,32.4,360,54.2,360,77.83,25,1010.43,2259.4,28.44,27.85,27.27,27.53,2651.5,70367.065
104,NTC,11,3016.27,3014.57,1310791,47821.62,1501.03,383.61,7028.595,258343.8,3749539,3746819,467650,19.6,33.1,6.4,1878,117,12.3,350,30.4,310,83.42,20,902.36,1691.1,44.08,34.69,25.9,34.99,5385742,170393032
104,YUN,12,544,531.98,353578,12899.6,465.15,228.33,5929.224,142620,935574,913938,467610,24.1,35.4,13.2,1506.8,179,12,220,30.2,330,77.75,43,1008.8,1513.4,28.44,27.85,27.27,27.53,2651.5,70367.065
104,CYI,13,2536.34,2505.64,1424551,51971.94,2301.98,1092.79,25310.89,519692,3948270,3900670,467480,24.3,37,8,1790.3,90,17.7,360,33.8,360,78.25,26,1010.08,2211.6,46.31,34.52,21.89,34.52,215255,7491135
104,PIF,14,3434.67,3087.61,1811963,66105.91,2127.65,661.93,16573.4,364990.6,5839308,5248418,467590,26.1,35.6,12.9,1480.1,82,16,340,34.9,290,71.83,35,1010.89,2431.6,44.57,29.32,22.09,29.32,1198670,32634778.5
104,TTT,15,531.26,514.71,324375,11834.19,41.94,3.36,61.6812,2239.611,793688,769054,467660,25,36.9,13,1222.8,120,10.6,200,26.5,220,76.83,30,1012.38,2021.9,41.37,30.22,23.66,31.53,144690,4348476
104,HUN,16,684.23,673.93,319088,11641.3,525.77,371.02,8015.434,225983.9,1048982,1032107,466990,23.9,34.6,11.5,1784.6,149,29,190,43.5,180,80,45,1011.77,1666.3,41.87,30.32,20.14,30.09,399807.5,11418818
104,PEH,17,3.15,1.64,651,23.74,1.92,1.39,24.4611,880.1519,3283,1589,467350,24,33.7,12.1,1752.7,76,18.7,290,32.9,360,79,25,1012.3,2110.5,0,0,0,0,0,0
104,KEL,18,4.74,4.74,1413,51.56,0,0,0,0,6030,6030,466940,23,36.8,9.1,3151.6,191,25.9,240,45.7,360,76.5,28,1011.02,1326.8,51.27,38.3,27.65,38.76,4566030,169929817
104,HSC,19,6.33,6.33,2975,108.55,4.42,0.88,17.4516,789.4115,9880,9880,466920,23.8,37.5,9.8,2519.2,148,15.9,260,39.2,350,75.25,20,1010.58,1306.3,26.18,25.79,25.33,25.79,991,22920
104,CYC,20,39.68,39.68,19110,697.2,41.5,10.38,156.9,3173.4,59520,59520,467530,12,23.6,-1.6,3413.3,146,8.3,360,31.4,350,80.75,15,765.57,1591.8,46.31,34.52,21.89,34.52,215255,7491135
104,KNH,21,0,0,0,0,0,0,0,0,0,0,467110,21.6,37.2,6.7,1109.6,102,12,360,29.1,360,73.5,22,1011.47,1764.9,0,0,0,0,0,0
105,NTP,1,71.61,66.25,36930,973.89,21.35,6.96,109.0098,4257.421,101434,93383,466900,23,37,3.8,2211,152,9.7,330,33.5,360,77.25,31,1011.43,1578.7,0,0,0,0,0,0
105,TPE,2,10.09,10.09,5623,148.3,9.85,5.15,85.5,2906.6,8751,8751,466910,17.8,30.1,-3.7,4756.5,216,18.3,360,46.8,360,91.17,14,921.57,967.7,82.36,58.52,39.65,59.52,7734429,333372760
105,TYN,3,45.42,44.94,17333,457.09,5.19,1.72,24.698,829.622,35931,35551,466880,23.7,38.3,3.8,2841,174,17.6,220,34.9,350,72.92,23,1012.32,1327.2,66.96,43.89,31.86,46.1,6781743,260788498
105,TXG,4,597.9,596.4,301625,7954.25,312.34,119.64,1633.855,72667.2,538475,536915,467490,24.2,36.2,4.4,1522.3,144,13.6,360,34.2,360,75.75,24,1002.83,1808.2,50.65,41.27,31.12,42.26,4966954.5,193900026
105,TNN,5,1024.33,1022.83,639908,16875.21,1000.9,345.69,8075.838,190609.4,1423558,1421858,467410,24.9,35.1,5.7,2720.9,106,20.2,230,37.1,230,77.25,26,1009.9,2171.9,59.92,40.92,30.65,40.92,649810,25335362.5
105,KHH,6,1941.6,1897.05,1352745,35673.65,2290.73,801.64,19025.07,448877.3,3483331,3402431,467440,25.9,35.1,7,3103.5,114,17.2,360,39.1,350,75.92,25,1012,2329.1,50.37,41.09,34.86,41.7,1156446,49499173
105,ILA,7,112.14,112.14,43504,1147.26,60.39,43,795.125,22449.29,141132,141132,467060,23.5,34.3,5,4724.1,231,32.1,160,56.2,360,80.17,22,1011.06,1469.1,57.99,39.99,24.55,38.64,416050,15518855
105,HSZ,8,97.63,97.63,52189,1376.29,27.02,10.46,203.66,6628.004,140371,140371,467571,23.5,38,2.8,2027.5,130,15.1,280,36.7,360,77.67,33,1009.84,1842.3,24.96,24.29,23.44,24.29,3589.5,66711.3
105,ZMI,9,104.46,104.46,70126,1849.33,42.01,14.69,226.5892,9906.94,139080,139080,466950,22.5,33.9,3.3,1820.5,170,35.6,360,48.2,360,81.08,34,1002.42,1697.1,45.93,34.35,26.81,35.16,2680153,82545248
105,CHW,10,150.08,147.58,103056,2717.73,109.44,39.45,948.74,25617.99,224106,220466,467770,23.6,35,4.2,1452.8,120,35,360,57.2,360,79.08,29,1009.87,1997.2,42.23,41.85,39.43,39.7,1278,46019.84
105,NTC,11,3045.88,3041.08,1614363,42572.87,1511.91,435.52,6862.223,253709.4,3791992,3784362,467650,19.6,31.8,0.7,2293.4,172,13.4,300,27.6,330,82.5,24,902.05,1520.2,50.65,41.27,31.12,42.26,4966954.5,193900026
